classname,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs 
org::eclipse::jdt::core::dom::MemberRef,25,8,0,5,228.0,82.0,9.12,61.0,8.0,2.44,167.0,74.0,6.68,229.714,104.781,0,0,0,0,0
org::eclipse::jdt::internal::core::util::Annotation,11,4,0,3,193.0,81.0,175.455,12.0,4.0,109.091,181.0,81.0,164.545,222.857,131.984,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference,32,7,0,5,219.0,89.0,684.375,207.0,89.0,646.875,12.0,11.0,0.375,367.0,539.478,0,0,0,0,0
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext,52,3,0,5,991.0,226.0,190.577,633.0,148.0,121.731,358.0,161.0,688.462,367.0,136.59,0,0,0,0,0
org::eclipse::jdt::internal::core::util::KeyKind,13,2,0,4,91.0,31.0,7.0,49.0,14.0,376.923,42.0,17.0,323.077,175.0,354.835,0,0,0,0,0
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor,9,5,0,4,11.0,5.0,122.222,10.0,5.0,111.111,1.0,1.0,0.111111,224.857,863.117,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::TypeDeclaration,193,30,0,12,6571.0,1071.0,340.466,6072.0,1123.0,314.611,499.0,174.0,258.549,367.0,111.711,3,0,0,0,0
org::eclipse::jdt::core::dom::ASTRequestor,12,2,0,5,228.0,53.0,19.0,162.0,35.0,13.5,66.0,40.0,5.5,193.571,472.807,0,0,0,0,0
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.714,0,0,0,0,0,0
org::eclipse::jdt::core::search::SearchPattern,91,8,0,9,6880.0,1627.0,756.044,5271.0,1359.0,579.231,1609.0,583.0,176.813,236.0,960.161,1,0,0,0,0
org::eclipse::jdt::core::jdom::DOMFactory,35,6,0,7,405.0,155.0,115.714,409.0,155.0,116.857,-4.0,12.0,-0.114286,367.0,464.272,0,0,0,0,0
org::eclipse::jdt::internal::core::util::SignatureAttribute,6,3,0,3,104.0,49.0,173.333,6.0,4.0,1.0,98.0,49.0,163.333,228.857,148.173,0,0,0,0,0
org::eclipse::jdt::internal::core::BinaryMember,43,6,0,6,409.0,105.0,951.163,317.0,110.0,737.209,92.0,79.0,213.953,367.0,133.861,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::MessageSend,168,12,0,10,2126.0,307.0,126.548,1719.0,307.0,102.321,407.0,63.0,242.262,367.0,129.876,4,0,0,0,0
org::eclipse::jdt::internal::core::XMLWriter,20,4,0,7,115.0,14.0,5.75,175.0,94.0,8.75,-60.0,5.0,-3.0,244.571,998.596,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::JavadocParser,92,12,0,9,2972.0,319.0,323.043,3264.0,892.0,354.783,-292.0,168.0,-317.391,239.143,494.217,3,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference,76,10,0,7,1763.0,600.0,231.974,1852.0,600.0,243.684,-89.0,43.0,-117.105,367.0,810.014,2,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer,54,8,0,7,740.0,243.0,137.037,669.0,243.0,123.889,71.0,85.0,131.481,367.0,941.838,0,0,0,0,0
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray,4,1,0,4,18.0,17.0,4.5,7.0,6.0,1.75,11.0,11.0,2.75,141.714,232.937,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::Expression,149,12,0,11,5262.0,483.0,353.154,4660.0,483.0,312.752,602.0,226.0,404.027,367.0,148.462,0,0,0,0,0
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations,2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,127.0,692.857,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ConstantPool,10,4,0,3,60.0,32.0,6.0,61.0,33.0,6.1,-1.0,0.0,-0.1,322.714,974.809,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference,47,7,0,5,320.0,52.0,680.851,262.0,52.0,557.447,58.0,20.0,123.404,367.0,924.138,0,0,0,0,0
org::eclipse::jdt::internal::compiler::impl::IntConstant,37,6,0,6,284.0,64.0,767.568,258.0,64.0,697.297,26.0,22.0,0.702703,367.0,81.749,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern,82,7,0,8,2577.0,325.0,314.268,2733.0,325.0,333.293,-156.0,81.0,-190.244,367.0,775.985,1,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression,29,4,0,5,184.0,69.0,634.483,185.0,69.0,637.931,-1.0,6.0,-0.0344828,367.0,493.261,0,0,0,0,0
org::eclipse::jdt::core::dom::SuperFieldAccess,39,14,0,7,465.0,167.0,119.231,264.0,167.0,676.923,201.0,74.0,515.385,333.143,70.569,0,0,0,0,0
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot,7,0,0,1,23.0,11.0,328.571,6.0,4.0,0.857143,17.0,10.0,242.857,16.0,203.106,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::MethodScope,89,9,0,9,2001.0,399.0,224.831,1889.0,399.0,212.247,112.0,117.0,125.843,367.0,118.103,1,1,0,0,0
org::eclipse::jdt::internal::compiler::CompilationResult,81,18,0,9,1835.0,349.0,226.543,1569.0,379.0,193.704,266.0,79.0,328.395,367.0,130.299,1,0,0,0,0
org::eclipse::jdt::internal::core::util::KeyToSignature,32,1,0,4,413.0,92.0,129.062,122.0,26.0,38.125,291.0,80.0,909.375,175.714,249.862,0,0,0,0,0
org::eclipse::jdt::internal::core::jdom::DOMType,58,11,0,7,1851.0,721.0,319.138,1730.0,721.0,298.276,121.0,77.0,208.621,367.0,493.741,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ForStatement,86,11,0,8,1629.0,335.0,189.419,1535.0,335.0,178.488,94.0,65.0,109.302,367.0,764.774,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding,2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,165.714,135.714,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::TrueLiteral,24,5,0,4,167.0,70.0,695.833,174.0,70.0,7.25,-7.0,8.0,-0.291667,367.0,663.601,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3,11,4,0,6,21.0,4.0,190.909,17.0,4.0,154.545,4.0,3.0,0.363636,282.0,827.755,0,0,0,0,0
org::eclipse::jdt::internal::formatter::FormatJavadocText,7,2,0,2,139.0,75.0,198.571,28.0,13.0,4.0,111.0,63.0,158.571,914.286,158.068,0,0,0,0,0
org::eclipse::jdt::internal::core::ImportDeclarationElementInfo,10,3,0,6,16.0,5.0,1.6,28.0,18.0,2.8,-12.0,5.0,-1.2,271.0,864.107,0,0,0,0,0
org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader,7,6,0,1,12.0,4.0,171.429,10.0,4.0,142.857,2.0,2.0,0.285714,168.857,933.452,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::NormalAnnotation,18,9,1,6,211.0,84.0,117.222,53.0,14.0,294.444,158.0,84.0,877.778,222.714,216.087,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding,224,16,0,12,6579.0,1041.0,293.705,5717.0,1041.0,255.223,862.0,146.0,384.821,367.0,115.991,6,0,1,0,0
org::eclipse::jdt::internal::core::SetContainerOperation,10,2,0,2,86.0,60.0,8.6,62.0,51.0,6.2,24.0,9.0,2.4,105.0,223.239,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding,12,3,0,5,233.0,165.0,194.167,78.0,34.0,6.5,155.0,131.0,129.167,184.714,788.087,0,0,0,0,0
org::eclipse::jdt::internal::core::LRUCacheEnumerator,15,4,0,5,121.0,69.0,806.667,119.0,69.0,793.333,2.0,6.0,0.133333,367.0,689.906,0,0,0,0,0
org::eclipse::jdt::internal::core::JavaModelInfo,27,5,0,5,152.0,42.0,562.963,182.0,32.0,674.074,-30.0,41.0,-111.111,367.0,624.445,0,0,0,0,0
org::eclipse::jdt::core::dom::MethodDeclaration,73,16,0,8,2096.0,439.0,287.123,1160.0,439.0,158.904,936.0,282.0,128.219,333.143,840.883,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::AndPattern,50,6,0,8,574.0,115.0,11.48,707.0,115.0,14.14,-133.0,14.0,-2.66,367.0,119.907,1,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetSuperReference,26,6,0,6,112.0,54.0,430.769,89.0,54.0,342.308,23.0,7.0,0.884615,355.714,798.367,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::OrPattern,60,3,0,7,986.0,170.0,164.333,1102.0,170.0,183.667,-116.0,35.0,-193.333,367.0,741.623,1,0,0,0,0
org::eclipse::jdt::internal::core::util::HashSetOfArray,3,0,0,1,149.0,149.0,496.667,149.0,149.0,496.667,0.0,149.0,0.0,60.0,128.571,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ClassFileStruct,14,4,0,5,53.0,9.0,378.571,61.0,9.0,435.714,-8.0,0.0,-0.571429,322.714,689.003,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference,37,6,0,6,177.0,65.0,478.378,167.0,65.0,451.351,10.0,11.0,0.27027,367.0,820.153,0,0,0,0,0
org::eclipse::jdt::internal::compiler::env::AccessRuleSet,16,2,0,4,151.0,30.0,94.375,109.0,31.0,68.125,42.0,19.0,2.625,169.143,468.515,0,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::IndexAllProject,110,7,0,9,1350.0,176.0,122.727,1190.0,176.0,108.182,160.0,30.0,145.455,367.0,923.705,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::ObjectCache,31,2,0,6,571.0,152.0,184.194,578.0,152.0,186.452,-7.0,6.0,-0.225806,367.0,615.161,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ClassFileAttribute,10,4,0,3,29.0,9.0,2.9,30.0,10.0,3.0,-1.0,0.0,-0.1,322.714,509.852,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ForeachStatement,84,31,0,8,2092.0,395.0,249.048,1163.0,62.0,138.452,929.0,395.0,110.595,223.429,469.666,2,0,0,0,0
org::eclipse::jdt::core::dom::NodeEventHandler,14,4,0,4,279.0,92.0,199.286,43.0,10.0,307.143,236.0,88.0,168.571,224.857,869.329,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetClassFile,61,13,0,8,667.0,241.0,109.344,705.0,241.0,115.574,-38.0,5.0,-0.622951,367.0,796.989,1,0,0,0,0
org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext,36,3,0,5,842.0,188.0,233.889,593.0,97.0,164.722,249.0,123.0,691.667,367.0,157.823,0,0,0,0,0
org::eclipse::jdt::internal::compiler::SourceJavadocParser,13,2,0,4,74.0,29.0,569.231,50.0,29.0,384.615,24.0,29.0,184.615,139.714,13.749,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding,50,6,0,8,271.0,42.0,5.42,217.0,42.0,4.34,54.0,27.0,1.08,367.0,128.633,0,0,0,0,0
org::eclipse::jdt::internal::core::CreateImportOperation,49,4,0,7,405.0,136.0,826.531,338.0,136.0,689.796,67.0,17.0,136.735,367.0,104.855,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::ReferenceCollection,28,6,0,7,407.0,225.0,145.357,365.0,225.0,130.357,42.0,32.0,1.5,329.0,741.846,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression,74,8,0,8,1181.0,247.0,159.595,1310.0,247.0,177.027,-129.0,33.0,-174.324,367.0,749.741,1,0,0,0,0
org::eclipse::jdt::core::dom::NodeSearcher,9,4,0,4,17.0,4.0,188.889,21.0,6.0,233.333,-4.0,0.0,-0.444444,256.571,483.193,0,0,0,0,0
org::eclipse::jdt::internal::core::util::AnnotationComponent,6,3,0,3,148.0,71.0,246.667,6.0,4.0,1.0,142.0,71.0,236.667,222.857,10.582,0,0,0,0,0
org::eclipse::jdt::core::dom::BreakStatement,34,12,0,7,316.0,123.0,929.412,181.0,123.0,532.353,135.0,60.0,397.059,333.143,709.878,0,0,0,0,0
org::eclipse::jdt::internal::core::ASTHolderCUInfo,13,4,0,7,52.0,17.0,4.0,7.0,4.0,0.538462,45.0,17.0,346.154,226.571,292.555,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType,11,4,0,5,18.0,5.0,163.636,21.0,5.0,190.909,-3.0,0.0,-0.272727,319.714,891.905,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ImportReference,44,9,0,6,292.0,61.0,663.636,271.0,61.0,615.909,21.0,16.0,0.477273,367.0,782.143,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::ClasspathJar,41,5,0,8,535.0,87.0,130.488,363.0,87.0,885.366,172.0,41.0,419.512,329.0,802.275,0,0,0,0,0
org::eclipse::jdt::internal::eval::VariablesInfo,18,5,0,4,134.0,64.0,744.444,136.0,64.0,755.556,-2.0,5.0,-0.111111,367.0,538.454,0,0,0,0,0
org::eclipse::jdt::internal::core::DeleteResourceElementsOperation,52,10,0,7,355.0,130.0,682.692,355.0,130.0,682.692,0.0,10.0,0.0,367.0,511.952,0,0,0,0,0
org::eclipse::jdt::internal::core::InternalNamingConventions,24,7,0,7,267.0,108.0,11.125,124.0,44.0,516.667,143.0,64.0,595.833,278.571,145.973,2,0,0,0,0
org::eclipse::jdt::internal::core::search::IndexQueryRequestor,9,3,0,5,12.0,4.0,133.333,11.0,4.0,122.222,1.0,1.0,0.111111,236.0,611.071,0,0,0,0,0
org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext,42,3,0,6,254.0,53.0,604.762,255.0,53.0,607.143,-1.0,5.0,-0.0238095,367.0,849.809,0,0,0,0,0
org::eclipse::jdt::core::dom::LineComment,19,6,0,5,101.0,37.0,531.579,22.0,4.0,115.789,79.0,37.0,415.789,229.714,16.587,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference,17,3,0,6,80.0,15.0,470.588,37.0,6.0,217.647,43.0,9.0,252.941,239.143,495.089,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement,19,6,0,5,70.0,23.0,368.421,89.0,23.0,468.421,-19.0,11.0,-1.0,270.143,145.004,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ProcessTaskManager,7,0,0,1,94.0,34.0,134.286,73.0,26.0,104.286,21.0,11.0,3.0,957.143,371.581,0,0,0,0,0
org::eclipse::jdt::core::dom::SwitchStatement,39,14,0,8,431.0,164.0,110.513,258.0,164.0,661.538,173.0,74.0,44.359,333.143,723.752,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator,22,4,0,8,105.0,23.0,477.273,66.0,23.0,3.0,39.0,19.0,177.273,248.571,692.898,1,0,0,0,0
org::eclipse::jdt::internal::core::SourceMethod,84,8,0,8,919.0,251.0,109.405,803.0,251.0,955.952,116.0,18.0,138.095,367.0,875.335,0,0,0,0,0
org::eclipse::jdt::internal::core::hierarchy::IndexBasedHierarchyBuilder,132,8,0,8,2132.0,535.0,161.515,2129.0,535.0,161.288,3.0,39.0,0.0227273,367.0,744.663,0,0,0,0,0
org::eclipse::jdt::internal::core::util::CommentRecorderScanner,8,4,0,4,12.0,4.0,1.5,10.0,4.0,1.25,2.0,1.0,0.25,228.143,402.857,1,0,0,0,0
org::eclipse::jdt::internal::core::util::StackMapAttribute,5,2,0,2,144.0,82.0,28.8,1.0,1.0,0.2,143.0,82.0,28.6,228.857,590.307,0,0,0,0,0
org::eclipse::jdt::core::dom::SuperMethodInvocation,45,15,0,7,813.0,187.0,180.667,414.0,187.0,9.2,399.0,93.0,886.667,333.143,984.973,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall,28,4,0,5,265.0,76.0,946.429,256.0,76.0,914.286,9.0,6.0,0.321429,367.0,524.016,0,0,0,0,0
org::eclipse::jdt::internal::formatter::old::CodeFormatter,19,7,0,6,317.0,121.0,166.842,312.0,120.0,164.211,5.0,18.0,0.263158,229.857,511.739,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::CaptureBinding,33,4,0,4,397.0,54.0,120.303,280.0,53.0,848.485,117.0,53.0,354.545,164.714,426.312,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding,49,4,0,9,630.0,89.0,128.571,197.0,43.0,402.041,433.0,89.0,883.673,224.143,62.839,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::FieldDeclaration,121,8,0,10,1517.0,223.0,125.372,1385.0,237.0,114.463,132.0,39.0,109.091,367.0,130.518,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::InferenceContext,5,1,0,2,26.0,11.0,5.2,10.0,4.0,2.0,16.0,7.0,3.2,103.286,51.945,0,0,0,0,0
org::eclipse::jdt::core::dom::AssertStatement,38,13,0,7,453.0,172.0,119.211,269.0,172.0,707.895,184.0,77.0,484.211,333.143,699.451,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern,49,4,0,7,497.0,97.0,101.429,583.0,97.0,11.898,-86.0,19.0,-17.551,367.0,518.896,1,0,0,0,0
org::eclipse::jdt::core::dom::InternalASTRewrite,15,2,0,7,86.0,17.0,573.333,52.0,11.0,346.667,34.0,15.0,226.667,221.0,463.405,0,0,0,0,0
org::eclipse::jdt::internal::compiler::classfmt::ClassFileReader,111,21,0,9,5118.0,788.0,461.081,5065.0,788.0,456.306,53.0,279.0,0.477477,367.0,809.683,0,0,0,0,0
org::eclipse::jdt::internal::core::search::JavaSearchParticipant,21,4,0,7,52.0,15.0,247.619,227.0,82.0,108.095,-175.0,2.0,-833.333,236.0,274.478,0,0,0,0,0
org::eclipse::jdt::internal::core::ImportContainer,44,4,0,8,286.0,82.0,6.5,252.0,82.0,572.727,34.0,21.0,0.772727,367.0,627.033,0,0,0,0,0
org::eclipse::jdt::core::dom::TypeParameter,36,6,0,7,597.0,165.0,165.833,87.0,12.0,241.667,510.0,165.0,141.667,239.571,135.219,0,0,0,0,0
org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer,30,3,0,6,929.0,78.0,309.667,902.0,78.0,300.667,27.0,16.0,0.9,367.0,301.708,0,0,0,0,0
org::eclipse::jdt::core::CompletionContext,18,4,0,4,599.0,151.0,332.778,51.0,24.0,283.333,548.0,151.0,304.444,169.857,731.803,1,0,0,0,0
org::eclipse::jdt::internal::core::index::EntryResult,19,5,0,7,240.0,46.0,126.316,215.0,44.0,113.158,25.0,10.0,131.579,234.571,217.625,0,0,0,0,0
org::eclipse::jdt::internal::compiler::problem::AbortCompilation,26,6,0,7,207.0,50.0,796.154,164.0,50.0,630.769,43.0,14.0,165.385,367.0,104.823,0,0,0,0,0
org::eclipse::jdt::core::dom::SynchronizedStatement,38,13,0,7,484.0,172.0,127.368,296.0,172.0,778.947,188.0,73.0,494.737,333.143,720.003,0,0,0,0,0
org::eclipse::jdt::core::dom::DefaultCommentMapper,45,6,0,8,1727.0,444.0,383.778,722.0,107.0,160.444,1005.0,430.0,223.333,229.0,255.065,0,0,0,0,0
org::eclipse::jdt::internal::core::util::EnclosingMethodAttribute,9,5,0,3,234.0,103.0,26.0,26.0,15.0,288.889,208.0,103.0,231.111,228.857,155.336,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ArrayInitializer,72,11,0,7,873.0,188.0,12.125,818.0,188.0,113.611,55.0,14.0,0.763889,367.0,101.333,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.714,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::impl::ShortConstant,35,6,0,6,177.0,54.0,505.714,201.0,54.0,574.286,-24.0,5.0,-0.685714,367.0,574.762,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::OrLocator,27,4,0,8,317.0,98.0,117.407,91.0,35.0,337.037,226.0,63.0,837.037,248.571,586.223,0,0,0,0,0
org::eclipse::jdt::internal::core::OpenableElementInfo,17,4,0,5,66.0,23.0,388.235,41.0,17.0,241.176,25.0,22.0,147.059,367.0,118.11,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue,16,3,0,4,79.0,27.0,49.375,81.0,27.0,50.625,-2.0,6.0,-0.125,367.0,74.094,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::AndLocator,3,1,0,2,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,498.571,406.667,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::CharArrayCache,34,5,0,7,553.0,184.0,162.647,514.0,184.0,151.176,39.0,25.0,114.706,367.0,785.451,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::MethodLocator,107,10,0,9,1707.0,139.0,159.533,863.0,70.0,806.542,844.0,119.0,788.785,248.571,940.384,3,0,0,0,0
org::eclipse::jdt::core::BufferChangedEvent,22,6,0,4,192.0,109.0,872.727,185.0,109.0,840.909,7.0,5.0,0.318182,367.0,58.026,0,0,0,0,0
org::eclipse::jdt::internal::core::NullBuffer,2,2,0,1,2.0,2.0,1.0,3.0,3.0,1.5,-1.0,0.0,-0.5,578.571,0,0,0,0,0,0
org::eclipse::jdt::core::dom::ReturnStatement,34,12,0,7,316.0,122.0,929.412,183.0,122.0,538.235,133.0,59.0,391.176,333.143,703.734,0,0,0,0,0
org::eclipse::jdt::internal::core::CopyPackageFragmentRootOperation,35,7,0,7,215.0,50.0,614.286,148.0,46.0,422.857,67.0,41.0,191.429,281.143,350.671,1,0,0,0,0
org::eclipse::jdt::internal::core::MultiOperation,28,2,0,7,981.0,334.0,350.357,1039.0,334.0,371.071,-58.0,12.0,-207.143,367.0,59.3,0,0,0,0,0
org::eclipse::jdt::internal::core::ProjectReferenceChange,8,2,0,2,132.0,62.0,16.5,104.0,50.0,13.0,28.0,12.0,3.5,105.0,817.056,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::QualifiedSuperReference,38,6,0,5,239.0,58.0,628.947,226.0,58.0,594.737,13.0,9.0,0.342105,367.0,672.791,1,0,0,0,0
org::eclipse::jdt::internal::core::search::processing::JobManager,116,9,0,8,1922.0,368.0,16.569,1691.0,368.0,145.776,231.0,29.0,199.138,367.0,760.182,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::MemberDeclarationVisitor,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.857,0,0,0,0,0,0
org::eclipse::jdt::core::dom::SimpleName,58,14,0,8,673.0,206.0,116.034,476.0,206.0,82.069,197.0,49.0,339.655,333.143,652.539,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetToCuMapper,76,6,0,8,1158.0,300.0,152.368,1252.0,370.0,164.737,-94.0,23.0,-123.684,367.0,661.541,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::JavaBuilder,167,8,0,11,2144.0,515.0,128.383,1636.0,515.0,979.641,508.0,47.0,304.192,329.0,770.235,0,0,0,0,0
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,27,5,0,5,629.0,146.0,232.963,80.0,12.0,296.296,549.0,146.0,203.333,226.0,316.489,0,0,0,0,0
org::eclipse::jdt::internal::compiler::util::SimpleNameVector,29,5,0,4,280.0,93.0,965.517,256.0,93.0,882.759,24.0,25.0,0.827586,367.0,344.097,0,0,0,0,0
org::eclipse::jdt::internal::core::SearchableEnvironment,90,8,0,8,4337.0,329.0,481.889,4198.0,329.0,466.444,139.0,101.0,154.444,367.0,365.847,1,0,0,0,0
org::eclipse::jdt::core::dom::LabeledStatement,38,13,0,7,493.0,173.0,129.737,285.0,173.0,7.5,208.0,75.0,547.368,333.143,732.634,0,0,0,0,0
org::eclipse::jdt::internal::core::search::AbstractSearchScope,21,5,0,5,147.0,54.0,7.0,139.0,54.0,661.905,8.0,31.0,0.380952,367.0,561.244,0,0,0,0,0
org::eclipse::jdt::internal::core::hierarchy::HierarchyBuilder,82,4,0,7,1665.0,441.0,203.049,1510.0,441.0,184.146,155.0,135.0,189.024,367.0,710.099,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::Argument,80,10,0,8,620.0,91.0,7.75,506.0,91.0,6.325,114.0,15.0,1.425,367.0,106.514,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser,4,1,0,2,11.0,8.0,2.75,11.0,8.0,2.75,0.0,0.0,0.0,877.143,835.065,0,0,0,0,0
org::eclipse::jdt::internal::core::util::JavaElementFinder,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0,0,0,0,0,0
