classname,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedTypeReference,33,6,0,6,192.0,67.0,581.818,180.0,67.0,545.455,12.0,9.0,0.363636,367.0,727.991,0,0,0,0,0
org::eclipse::jdt::internal::core::search::JavaSearchTypeNameMatch,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.429,0,0,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::IndexManager,198,13,0,9,3617.0,488.0,182.677,3066.0,488.0,154.848,551.0,100.0,278.283,367.0,105.595,3,0,0,0,0
org::eclipse::jdt::internal::core::JarPackageFragment,51,7,0,6,633.0,170.0,124.118,580.0,170.0,113.725,53.0,48.0,103.922,367.0,123.074,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistImportDeclaration,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.143,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::IntLiteral,31,7,0,6,334.0,147.0,107.742,361.0,164.0,116.452,-27.0,6.0,-0.870968,367.0,534.363,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::Parser,520,132,0,12,65571.0,7452.0,126.098,59724.0,7452.0,114.854,5847.0,2768.0,112.442,367.0,96.248,4,0,0,0,0
org::eclipse::jdt::internal::core::builder::State,74,9,0,10,1263.0,547.0,170.676,961.0,547.0,129.865,302.0,46.0,408.108,329.0,597.003,1,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetEvaluator,40,4,0,8,441.0,204.0,11.025,440.0,204.0,11.0,1.0,10.0,0.025,367.0,506.838,0,0,0,0,0
org::eclipse::jdt::core::dom::TypeDeclarationStatement,52,12,0,9,741.0,156.0,14.25,356.0,156.0,684.615,385.0,94.0,740.385,333.143,962.851,0,0,0,0,0
org::eclipse::jdt::internal::compiler::batch::ClasspathJar,57,13,0,6,854.0,168.0,149.825,614.0,100.0,107.719,240.0,167.0,421.053,367.0,138.317,1,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::JavaSearchNameEnvironment,32,7,0,7,237.0,33.0,740.625,190.0,41.0,59.375,47.0,28.0,146.875,291.0,81.135,0,0,0,0,0
org::eclipse::jdt::internal::eval::InstallException,18,4,0,4,93.0,33.0,516.667,85.0,33.0,472.222,8.0,9.0,0.444444,367.0,559.708,0,0,0,0,0
org::eclipse::jdt::internal::core::search::HierarchyScope,56,7,0,7,1082.0,225.0,193.214,889.0,225.0,15.875,193.0,109.0,344.643,367.0,503.331,0,0,0,0,0
org::eclipse::jdt::core::search::TypeNameMatch,10,0,0,2,223.0,73.0,22.3,254.0,97.0,25.4,-31.0,29.0,-3.1,89.0,220.756,0,0,0,0,0
org::eclipse::jdt::internal::core::SearchableEnvironmentRequestor,25,3,0,7,244.0,83.0,9.76,216.0,83.0,8.64,28.0,38.0,1.12,367.0,965.269,0,0,0,0,0
org::eclipse::jdt::internal::compiler::batch::CompilationUnit,39,6,0,5,302.0,73.0,774.359,312.0,73.0,8.0,-10.0,13.0,-0.25641,367.0,616.485,0,0,0,0,0
org::eclipse::jdt::internal::core::dom::NaiveASTFlattener,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.429,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::MethodVerifier15,106,5,0,7,2472.0,179.0,233.208,1233.0,137.0,116.321,1239.0,123.0,116.887,204.714,786.175,8,1,1,1,0
org::eclipse::jdt::internal::compiler::parser::RecoveryScannerData,2,0,0,1,11.0,11.0,5.5,3.0,3.0,1.5,8.0,8.0,4.0,126.0,0.142857,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::InternalSearchPattern,17,2,0,7,99.0,22.0,582.353,62.0,14.0,364.706,37.0,14.0,217.647,217.0,625.815,1,0,0,0,0
org::eclipse::jdt::internal::formatter::DefaultCodeFormatter,88,29,0,10,1783.0,180.0,202.614,1339.0,161.0,152.159,444.0,160.0,504.545,261.571,109.425,0,0,0,0,0
org::eclipse::jdt::core::dom::MemberValuePair,32,6,0,6,643.0,183.0,200.938,92.0,12.0,2.875,551.0,183.0,172.187,226.0,570.384,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnImportReference,26,4,0,4,136.0,55.0,523.077,136.0,55.0,523.077,0.0,6.0,0.0,367.0,489.181,0,0,0,0,0
org::eclipse::jdt::internal::core::UserLibrary,25,6,0,5,153.0,36.0,6.12,71.0,13.0,2.84,82.0,23.0,3.28,217.0,642.838,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::BinaryExpression,81,8,0,9,7934.0,1737.0,979.506,7679.0,1737.0,948.025,255.0,339.0,314.815,367.0,118.127,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::ClasspathLocation,26,5,0,9,130.0,37.0,5.0,96.0,37.0,369.231,34.0,14.0,130.769,329.0,714.352,0,0,0,0,0
org::eclipse::jdt::internal::core::ResolvedSourceType,11,3,0,4,34.0,7.0,309.091,24.0,5.0,218.182,10.0,6.0,0.909091,175.0,341.513,0,0,0,0,0
org::eclipse::jdt::internal::core::DiscardWorkingCopyOperation,13,2,0,4,52.0,18.0,4.0,56.0,31.0,430.769,-4.0,12.0,-0.307692,261.571,484.698,0,0,0,0,0
org::eclipse::jdt::core::dom::ChildPropertyDescriptor,9,5,0,4,12.0,4.0,133.333,11.0,4.0,122.222,1.0,1.0,0.111111,224.857,769.405,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistOptions,36,5,0,6,670.0,83.0,186.111,337.0,71.0,936.111,333.0,82.0,9.25,354.571,805.139,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::WildcardBinding,99,5,0,8,1946.0,315.0,196.566,856.0,116.0,864.646,1090.0,315.0,110.101,220.714,498.048,1,0,1,0,0
org::eclipse::jdt::internal::compiler::ast::ArrayAllocationExpression,55,8,0,7,671.0,184.0,12.2,668.0,184.0,121.455,3.0,22.0,0.0545455,367.0,693.709,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::SecondaryTypeDeclarationPattern,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.571,0,1,0,0,0,0
org::eclipse::jdt::core::dom::EnhancedForStatement,35,8,0,6,957.0,285.0,273.429,276.0,86.0,788.571,681.0,285.0,194.571,239.571,121.797,0,0,0,0,0
org::eclipse::jdt::internal::core::JavaElementRequestor,17,4,0,5,478.0,226.0,281.176,487.0,226.0,286.471,-9.0,9.0,-0.529412,367.0,414.441,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::Scope,450,12,0,12,25117.0,1261.0,558.156,21204.0,1261.0,47.12,3913.0,429.0,869.556,367.0,965.124,8,0,2,1,0
org::eclipse::jdt::core::dom::BindingComparator,31,19,0,6,515.0,95.0,166.129,374.0,92.0,120.645,141.0,41.0,454.839,193.0,330.488,0,0,0,0,0
org::eclipse::jdt::internal::formatter::AbortFormatting,8,1,0,4,13.0,6.0,1.625,10.0,6.0,1.25,3.0,2.0,0.375,264.857,702.308,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ResourceCompilationUnit,9,1,0,3,17.0,10.0,188.889,15.0,5.0,166.667,2.0,5.0,0.222222,131.857,154.958,0,0,0,0,0
org::eclipse::jdt::internal::core::CompilationUnitProblemFinder,74,7,0,9,423.0,44.0,571.622,352.0,50.0,475.676,71.0,17.0,0.959459,325.0,119.241,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::PostfixExpression,36,4,0,4,374.0,76.0,103.889,376.0,76.0,104.444,-2.0,13.0,-0.0555556,367.0,709.236,0,0,0,0,0
org::eclipse::jdt::internal::compiler::problem::ProblemReporter,479,70,2,12,22297.0,2482.0,465.491,16639.0,2576.0,34.737,5658.0,459.0,118.121,367.0,129.576,8,2,1,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword1,12,4,0,7,26.0,5.0,216.667,15.0,4.0,1.25,11.0,5.0,0.916667,282.0,903.571,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ClassScope,239,14,0,12,13423.0,873.0,561.632,12995.0,896.0,543.724,428.0,103.0,179.079,367.0,549.122,1,1,0,0,0
org::eclipse::jdt::internal::core::search::PathCollector,21,5,0,6,344.0,131.0,16.381,560.0,154.0,266.667,-216.0,9.0,-102.857,367.0,521.578,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::BranchStatement,35,9,0,6,253.0,66.0,722.857,236.0,66.0,674.286,17.0,9.0,0.485714,367.0,99.738,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadoc,6,2,0,3,39.0,36.0,6.5,37.0,34.0,616.667,2.0,2.0,0.333333,140.143,152.344,0,0,0,0,0
org::eclipse::jdt::internal::formatter::Scribe,172,70,0,8,6871.0,959.0,399.477,3179.0,425.0,184.826,3692.0,836.0,214.651,264.857,166.729,9,1,0,0,1
org::eclipse::jdt::internal::core::MemberElementInfo,22,4,0,6,282.0,92.0,128.182,305.0,92.0,138.636,-23.0,4.0,-104.545,367.0,480.942,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistPackageDeclaration,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.143,0,0,0,0,0,0
org::eclipse::jdt::core::search::SearchParticipant,39,4,0,9,544.0,138.0,139.487,270.0,59.0,692.308,274.0,89.0,702.564,236.0,295.176,0,0,0,0,0
org::eclipse::jdt::internal::compiler::problem::AbortType,18,3,0,5,64.0,25.0,355.556,51.0,25.0,283.333,13.0,6.0,0.722222,367.0,936.473,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::RecoveredAnnotation,2,0,0,1,58.0,58.0,29.0,16.0,16.0,8.0,42.0,42.0,21.0,205.714,147.143,0,0,0,0,0
org::eclipse::jdt::internal::core::util::LocalVariableTableEntry,9,4,0,3,28.0,9.0,311.111,29.0,10.0,322.222,-1.0,0.0,-0.111111,322.714,528.061,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::LongCache,31,3,0,6,637.0,155.0,205.484,629.0,155.0,202.903,8.0,9.0,0.258065,367.0,749.388,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::MatchingNodeSet,46,5,0,7,480.0,224.0,104.348,826.0,320.0,179.565,-346.0,16.0,-752.174,279.571,48.9,0,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::SourceIndexerRequestor,63,5,0,9,926.0,258.0,146.984,829.0,302.0,131.587,97.0,35.0,153.968,367.0,978.383,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::QualifiedNameReference,171,14,0,10,6363.0,924.0,372.105,5607.0,935.0,327.895,756.0,156.0,442.105,367.0,124.878,7,0,1,0,0
org::eclipse::jdt::internal::compiler::classfmt::InnerClassInfo,30,4,0,5,328.0,143.0,109.333,321.0,143.0,10.7,7.0,15.0,0.233333,367.0,394.787,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedQualifiedTypeReference,15,4,0,5,203.0,74.0,135.333,53.0,19.0,353.333,150.0,74.0,10.0,207.143,104.215,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::LocalVariablePattern,34,2,0,7,243.0,47.0,714.706,245.0,51.0,720.588,-2.0,19.0,-0.0588235,243.0,266.238,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::CodeStream,217,57,0,9,26252.0,5690.0,120.977,25827.0,5690.0,119.018,425.0,328.0,195.853,367.0,933.903,3,0,0,0,0
org::eclipse::jdt::core::dom::StringLiteral,51,13,0,8,765.0,349.0,15.0,572.0,349.0,112.157,193.0,61.0,378.431,333.143,444.293,1,1,0,0,0
org::eclipse::jdt::internal::core::MovePackageFragmentRootOperation,21,4,0,5,293.0,73.0,139.524,151.0,38.0,719.048,142.0,46.0,67.619,281.143,348.649,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::StackMapFrameCodeStream,29,20,0,3,2876.0,1767.0,991.724,4032.0,2292.0,139.034,-1156.0,428.0,-398.621,126.571,598.261,2,0,2,1,0
org::eclipse::jdt::internal::formatter::align::Alignment,35,16,0,6,209.0,27.0,597.143,195.0,39.0,557.143,14.0,14.0,0.4,264.857,468.776,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::InvalidCursorLocation,30,4,0,4,168.0,30.0,5.6,165.0,30.0,5.5,3.0,9.0,0.1,367.0,47.159,0,0,0,0,0
org::eclipse::jdt::internal::core::search::SubTypeSearchJob,54,6,0,8,373.0,95.0,690.741,550.0,95.0,101.852,-177.0,13.0,-327.778,367.0,852.539,0,0,0,0,0
org::eclipse::jdt::internal::core::ChangeClasspathOperation,12,2,0,3,36.0,7.0,3.0,10.0,4.0,0.833333,26.0,7.0,216.667,105.0,699.286,0,0,0,0,0
org::eclipse::jdt::internal::formatter::CascadingMethodInvocationFragmentBuilder,9,3,0,4,32.0,11.0,355.556,26.0,6.0,288.889,6.0,6.0,0.666667,244.714,252.679,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ASTNodeFinder,14,4,0,5,18.0,4.0,128.571,18.0,4.0,128.571,0.0,0.0,0.0,238.429,458.175,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnParameterizedQualifiedTypeReference,15,4,0,5,297.0,131.0,19.8,31.0,12.0,206.667,266.0,131.0,177.333,218.857,130.702,0,0,0,0,0
org::eclipse::jdt::core::search::LocalVariableReferenceMatch,21,3,0,4,192.0,37.0,914.286,52.0,11.0,247.619,140.0,36.0,666.667,227.571,109.219,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::diagnose::RangeUtil,14,5,0,6,19.0,4.0,135.714,40.0,23.0,285.714,-21.0,1.0,-1.5,236.143,101.602,0,0,0,0,0
org::eclipse::jdt::internal::core::builder::QualifiedNameSet,10,3,0,6,152.0,67.0,15.2,14.0,4.0,1.4,138.0,67.0,13.8,240.857,547.462,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::CompletionUnitStructureRequestor,2,0,0,1,9.0,9.0,4.5,0.0,0.0,0.0,9.0,9.0,4.5,147.143,957.143,0,0,0,0,0
org::eclipse::jdt::internal::core::util::InnerClassesAttribute,16,5,0,5,55.0,9.0,34.375,51.0,9.0,31.875,4.0,4.0,0.25,322.714,658.883,0,0,0,0,0
org::eclipse::jdt::internal::compiler::env::AccessRestriction,16,3,0,7,151.0,39.0,94.375,174.0,99.0,10.875,-23.0,39.0,-14.375,193.571,30.017,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetThisReference,44,6,0,7,326.0,98.0,740.909,306.0,98.0,695.455,20.0,11.0,0.454545,367.0,768.418,0,0,0,0,0
org::eclipse::jdt::internal::core::PackageFragmentInfo,41,6,0,6,275.0,107.0,670.732,318.0,107.0,77.561,-43.0,24.0,-104.878,367.0,546.197,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ImportConflictBinding,3,0,0,3,1.0,1.0,0.333333,1.0,1.0,0.333333,0.0,0.0,0.0,162.571,0,0,0,0,0,0
org::eclipse::jdt::core::dom::PrefixExpression,38,14,0,7,536.0,253.0,141.053,345.0,253.0,907.895,191.0,83.0,502.632,333.143,63.662,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::diagnose::LexStream,15,4,0,5,138.0,90.0,9.2,31.0,5.0,206.667,107.0,86.0,713.333,262.0,46.558,0,0,0,0,0
org::eclipse::jdt::internal::core::search::indexing::AbstractIndexer,56,6,0,9,1654.0,573.0,295.357,2240.0,731.0,40.0,-586.0,14.0,-104.643,367.0,687.153,0,0,0,0,0
org::eclipse::jdt::core::dom::Annotation,21,4,0,7,409.0,125.0,194.762,49.0,9.0,233.333,360.0,125.0,171.429,226.0,916.242,0,0,0,0,0
org::eclipse::jdt::internal::core::ClasspathAttribute,2,1,0,2,4.0,4.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,173.0,0.142857,0,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::BinaryLocalVariableBinding,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.714,0,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeDetector,18,4,0,7,119.0,24.0,661.111,40.0,10.0,222.222,79.0,24.0,438.889,295.143,929.208,0,0,0,0,0
org::eclipse::jdt::core::dom::IfStatement,41,13,0,7,631.0,227.0,153.902,379.0,227.0,92.439,252.0,90.0,614.634,333.143,704.743,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::QualifiedTypeDeclarationPattern,48,6,0,8,490.0,54.0,102.083,539.0,74.0,112.292,-49.0,52.0,-102.083,329.143,136.203,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::LocalDeclaration,93,9,0,9,1212.0,205.0,130.323,1158.0,205.0,124.516,54.0,18.0,0.580645,367.0,109.407,0,0,0,0,0
org::eclipse::jdt::internal::core::hierarchy::ChangeCollector,11,3,0,5,43.0,27.0,390.909,44.0,30.0,4.0,-1.0,1.0,-0.0909091,245.857,91.814,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionParser,116,17,0,7,3119.0,686.0,268.879,2283.0,686.0,19.681,836.0,190.0,72.069,367.0,866.224,1,0,0,0,0
org::eclipse::jdt::core::dom::Comment,9,4,0,3,20.0,4.0,222.222,16.0,4.0,177.778,4.0,2.0,0.444444,229.714,263.143,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::DeclarationOfAccessedFieldsPattern,30,8,0,7,231.0,120.0,7.7,312.0,120.0,10.4,-81.0,8.0,-2.7,343.0,533.006,1,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocFieldReference,6,0,0,1,46.0,17.0,766.667,3.0,3.0,0.5,43.0,14.0,716.667,140.143,421.429,0,0,0,0,0
org::eclipse::jdt::internal::core::JavaModelCache,38,4,0,6,346.0,68.0,910.526,237.0,54.0,623.684,109.0,59.0,286.842,324.571,163.814,1,0,0,0,0
org::eclipse::jdt::internal::compiler::util::HashtableOfPackage,31,4,0,7,242.0,95.0,780.645,238.0,95.0,767.742,4.0,9.0,0.129032,367.0,536.429,0,0,0,0,0
org::eclipse::jdt::internal::core::ResolvedSourceMethod,8,3,0,4,29.0,7.0,3.625,18.0,5.0,2.25,11.0,7.0,1.375,175.0,350.394,0,0,0,0,0
org::eclipse::jdt::internal::core::Member,60,4,0,7,864.0,247.0,14.4,586.0,247.0,976.667,278.0,48.0,463.333,367.0,100.701,0,0,0,0,0
org::eclipse::jdt::internal::core::SourceMapper,167,30,0,9,9461.0,891.0,566.527,8615.0,891.0,515.868,846.0,184.0,506.587,367.0,493.227,1,0,0,0,0
org::eclipse::jdt::core::util::OpcodeStringValues,15,6,0,4,240.0,204.0,16.0,238.0,204.0,158.667,2.0,3.0,0.133333,322.714,126.012,1,0,0,0,0
org::eclipse::jdt::core::formatter::IndentManipulation,7,4,0,3,11.0,4.0,157.143,18.0,9.0,257.143,-7.0,1.0,-1.0,123.857,341.169,0,0,0,0,0
org::eclipse::jdt::core::dom::AbstractTypeDeclaration,22,4,0,4,555.0,179.0,252.273,64.0,12.0,290.909,491.0,179.0,223.182,226.0,552.844,0,0,0,0,0
org::eclipse::jdt::core::dom::SwitchCase,40,15,0,7,380.0,151.0,9.5,235.0,151.0,5.875,145.0,59.0,3.625,333.143,696.068,0,0,0,0,0
org::eclipse::jdt::internal::compiler::SourceElementParser,124,14,0,5,4604.0,1294.0,37.129,4049.0,1294.0,326.532,555.0,170.0,447.581,367.0,541.314,0,0,0,0,0
org::eclipse::jdt::core::dom::TypeLiteral,37,13,0,7,344.0,128.0,92.973,199.0,128.0,537.838,145.0,59.0,391.892,333.143,731.208,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::StringLiteralConcatenation,6,4,0,3,7.0,4.0,116.667,7.0,4.0,116.667,0.0,0.0,0.0,213.857,55.449,0,0,0,0,0
org::eclipse::jdt::internal::core::search::PatternSearchJob,72,5,0,9,1022.0,167.0,141.944,1141.0,167.0,158.472,-119.0,19.0,-165.278,367.0,860.914,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::DoStatement,73,8,0,7,947.0,197.0,129.726,932.0,197.0,127.671,15.0,39.0,0.205479,367.0,103.703,0,0,0,0,0
org::eclipse::jdt::internal::core::util::Util,155,22,0,11,7314.0,1614.0,471.871,2435.0,365.0,157.097,4879.0,1581.0,314.774,322.714,124.661,4,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionNodeFound,26,4,0,6,112.0,23.0,430.769,101.0,23.0,388.462,11.0,8.0,0.423077,367.0,111.855,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetSkeleton,53,7,0,8,551.0,146.0,103.962,517.0,146.0,975.472,34.0,14.0,0.641509,367.0,943.088,0,0,0,0,0
org::eclipse::jdt::core::search::TypeNameRequestor,7,1,0,4,11.0,5.0,157.143,7.0,2.0,1.0,4.0,4.0,0.571429,170.571,496.623,0,0,0,0,0
org::eclipse::jdt::internal::core::search::matching::PackageReferenceLocator,65,8,0,8,578.0,75.0,889.231,318.0,84.0,489.231,260.0,27.0,4.0,248.571,495.704,3,0,0,0,0
org::eclipse::jdt::internal::core::dom::rewrite::SourceModifier,15,3,0,8,49.0,9.0,326.667,114.0,44.0,7.6,-65.0,2.0,-433.333,220.143,374.752,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSendName,3,1,0,2,2.0,1.0,0.666667,8.0,7.0,266.667,-6.0,0.0,-2.0,113.857,109.786,0,0,0,0,0
org::eclipse::jdt::internal::compiler::problem::ProblemHandler,43,10,0,8,523.0,180.0,121.628,524.0,180.0,12.186,-1.0,26.0,-0.0232558,367.0,986.651,0,0,0,0,0
org::eclipse::jdt::internal::core::DeltaProcessingState,63,4,0,7,1440.0,111.0,228.571,844.0,115.0,133.968,596.0,111.0,946.032,258.0,711.393,1,0,0,0,0
